,Agent,Activity,Message,Package Number,Latitude,Longitude
0,autonomousBike0,Delivery,Usedpackage[3521],3521,-71.14308551664661,42.37804910759264
1,autonomousBike4,Delivery,Usedpackage[3286],3286,-71.15206778509447,42.37703553560737
2,autonomousBike6,Delivery,Usedpackage[3138],3138,-71.13963199999999,42.384426999999874
3,autonomousBike7,Delivery,Usedpackage[3451],3451,-71.14891800000001,42.37575699999988
4,autonomousBike8,Delivery,Usedpackage[3650],3650,-71.07327511953629,42.36991780876925
5,autonomousBike13,Delivery,Usedpackage[3869],3869,-71.102425,42.364997999999886
6,autonomousBike14,Delivery,Usedpackage[3653],3653,-71.07327511953629,42.36991780876925
7,autonomousBike15,Delivery,Usedpackage[3948],3948,-71.079235,42.364321999999895
8,autonomousBike20,Delivery,Usedpackage[3906],3906,-71.079598,42.36444099999988
9,autonomousBike21,Delivery,Usedpackage[3621],3621,-71.15240795345291,42.37649114880827
10,autonomousBike22,Delivery,Usedpackage[3686],3686,-71.1069790722962,42.35697656164693
11,autonomousBike23,Charge,Charged at chargingStation[2],2,,
12,autonomousBike24,Charge,Charged at chargingStation[19],19,,
13,autonomousBike28,Delivery,Usedpackage[3124],3124,-71.15134153548219,42.37965667271044
14,autonomousBike29,Delivery,Usedpackage[3372],3372,-71.13883117323472,42.38241693095711
15,autonomousBike30,Delivery,Usedpackage[3642],3642,-71.07327511953629,42.36991780876925
16,autonomousBike31,Delivery,Usedpackage[3125],3125,-71.15324905320466,42.37922866718104
17,autonomousBike32,Delivery,Usedpackage[3126],3126,-71.1494980100175,42.37878275672549
18,autonomousBike33,Delivery,Usedpackage[3437],3437,-71.075326,42.36801899999988
19,autonomousBike38,Delivery,Usedpackage[3931],3931,-71.10248399999999,42.36486499999988
20,autonomousBike42,Delivery,Usedpackage[3514],3514,-71.14809699999999,42.38911799999985
21,autonomousBike43,Delivery,Usedpackage[3983],3983,-71.12081517087627,42.38944389970917
22,autonomousBike45,Delivery,Usedpackage[3751],3751,-71.1491115723017,42.37685297385448
23,autonomousBike46,Delivery,Usedpackage[3644],3644,-71.07327511953629,42.36991780876925
24,autonomousBike47,Charge,Charged at chargingStation[2],2,,
25,autonomousBike51,Delivery,Usedpackage[3946],3946,-71.09384525746042,42.35731286087455
26,autonomousBike53,Delivery,Usedpackage[3944],3944,-71.093366,42.35919099999989
27,autonomousBike56,Delivery,Usedpackage[3656],3656,-71.07327511953629,42.36991780876925
28,autonomousBike57,Delivery,Usedpackage[3908],3908,-71.082109,42.36293399999988
29,autonomousBike58,Delivery,Usedpackage[3768],3768,-71.10699314640637,42.35776316864297
30,autonomousBike63,Delivery,Usedpackage[3580],3580,-71.1491115723017,42.37685297385448
31,autonomousBike64,Charge,Charged at chargingStation[26],26,,
32,autonomousBike65,Delivery,Usedpackage[3454],3454,-71.140794,42.38621899999986
33,autonomousBike66,Delivery,Usedpackage[3649],3649,-71.07327511953629,42.36991780876925
34,autonomousBike68,Delivery,Usedpackage[3942],3942,-71.082109,42.36293399999988
35,autonomousBike70,Delivery,Usedpackage[3910],3910,-71.08126700000001,42.36134199999988
36,autonomousBike72,Delivery,Usedpackage[3652],3652,-71.07327511953629,42.36991780876925
37,autonomousBike75,Delivery,Usedpackage[3581],3581,-71.14989083054971,42.377207003912766
38,autonomousBike77,Delivery,Usedpackage[3861],3861,-71.07327511953629,42.36991780876925
39,autonomousBike78,Delivery,Usedpackage[3871],3871,-71.10248399999999,42.36486499999988
40,autonomousBike81,Delivery,Usedpackage[3253],3253,-71.11071287734845,42.35635600861144
41,autonomousBike83,Charge,Charged at chargingStation[26],26,,
42,autonomousBike84,Delivery,Usedpackage[3499],3499,-71.105193,42.35384599999988
43,autonomousBike87,Delivery,Usedpackage[3826],3826,-71.081379,42.36436899999988
44,autonomousBike88,Delivery,Usedpackage[3851],3851,-71.082109,42.36293399999988
45,autonomousBike90,Delivery,Usedpackage[3394],3394,-71.11133487828906,42.3558840328224
46,autonomousBike92,Delivery,Usedpackage[3935],3935,-71.102754,42.36503399999988
47,autonomousBike93,Delivery,Usedpackage[3947],3947,-71.09684399999999,42.36365299999988
48,autonomousBike95,Delivery,Usedpackage[3862],3862,-71.07327511953629,42.36991780876925
49,autonomousBike98,Delivery,Usedpackage[3973],3973,-71.105008,42.36591499999989
50,autonomousBike100,Delivery,Usedpackage[3832],3832,-71.138497,42.38140599999988
51,autonomousBike102,Delivery,Usedpackage[3123],3123,-71.15479393689006,42.38056498772716
52,autonomousBike105,Delivery,Usedpackage[3833],3833,-71.13398106132024,42.398979516560274
53,autonomousBike106,Delivery,Usedpackage[3749],3749,-71.1580204,42.37943909999988
