,Agent,Activity,Message,Package Number,Latitude,Longitude
0,autonomousBike0,Delivery,Usedpackage[2622],2622,-71.112111,42.357064999999885
1,autonomousBike1,Delivery,Usedpackage[3972],3972,-71.11897900000001,42.38960599999989
2,autonomousBike2,Delivery,Usedpackage[2266],2266,-71.15356086212047,42.37601386684409
3,autonomousBike4,Delivery,Usedpackage[3126],3126,-71.1494980100175,42.37878275672549
4,autonomousBike5,Delivery,Usedpackage[3882],3882,-71.0732022870298,42.3686104981561
5,autonomousBike7,Charge,Charged at chargingStation[19],19,,
6,autonomousBike8,Delivery,Usedpackage[3978],3978,-71.11234333685206,42.37345053571645
7,autonomousBike10,Delivery,Usedpackage[3766],3766,-71.07456061358481,42.36940547512403
8,autonomousBike11,Delivery,Usedpackage[3790],3790,-71.130809,42.38275899999988
9,autonomousBike13,Delivery,Usedpackage[41],41,-71.15363739122618,42.37867488624446
10,autonomousBike14,Delivery,Usedpackage[3902],3902,-71.13035700788235,42.39150759359938
11,autonomousBike19,Delivery,Usedpackage[1485],1485,-71.15391084532482,42.37933084567747
12,autonomousBike20,Delivery,Usedpackage[2468],2468,-71.11139755151078,42.35626498756644
13,autonomousBike22,Delivery,Usedpackage[2148],2148,-71.11030989180534,42.35656093272926
14,autonomousBike23,Delivery,Usedpackage[3874],3874,-71.102425,42.364997999999886
15,autonomousBike24,Delivery,Usedpackage[2789],2789,-71.13475799999999,42.373949999999866
16,autonomousBike25,Charge,Charged at chargingStation[66],66,,
17,autonomousBike26,Charge,Charged at chargingStation[2],2,,
18,autonomousBike28,Delivery,Usedpackage[3631],3631,-71.10798943084404,42.35956722546501
19,autonomousBike29,Delivery,Usedpackage[3178],3178,-71.108007,42.35640899999989
20,autonomousBike33,Delivery,Usedpackage[3983],3983,-71.12081517087627,42.38944389970917
21,autonomousBike34,Delivery,Usedpackage[3628],3628,-71.13067222041845,42.382405641819
22,autonomousBike35,Delivery,Usedpackage[705],705,-71.15362494393047,42.37834204898599
23,autonomousBike37,Charge,Charged at chargingStation[7],7,,
24,autonomousBike38,Delivery,Usedpackage[3932],3932,-71.102547,42.36445799999988
25,autonomousBike39,Delivery,Usedpackage[2564],2564,-71.11133487828906,42.3558840328224
26,autonomousBike40,Delivery,Usedpackage[3951],3951,-71.12295068695255,42.37966557473881
27,autonomousBike41,Delivery,Usedpackage[2830],2830,-71.14029711545777,42.38279506710534
