Cycle,Time,Traditional Scenario,Num Autonomous Bikes,Autonomous Bikes Battery Life,AB PickUp Speed,Num Cars,Agent,Station,Start Time,End Time,Duration (min),Start Battery %,End Battery %,Battery Gain %
28599,15:53:18,false,210,35000.0,3.888888888888889,0,autonomousBike74,chargingStation[14],12:23:28,15:53:18,209.83333333333334,22.28540895672496,100.0,77.71459104327504
28966,16:05:32,false,210,35000.0,3.888888888888889,0,autonomousBike155,chargingStation[32],12:31:52,16:05:32,213.66666666666666,20.87123008050611,100.0,79.12876991949389
29545,16:24:50,false,210,35000.0,3.888888888888889,0,autonomousBike16,chargingStation[44],12:50:08,16:24:50,214.7,20.48667351417435,100.0,79.51332648582566
29769,16:32:18,false,210,35000.0,3.888888888888889,0,autonomousBike200,chargingStation[12],13:03:54,16:32:18,208.4,22.82582747775228,100.0,77.17417252224772
29851,16:35:02,false,210,35000.0,3.888888888888889,0,autonomousBike41,chargingStation[36],13:07:54,16:35:02,207.13333333333333,23.289930386813346,100.0,76.71006961318665
30068,16:42:16,false,210,35000.0,3.888888888888889,0,autonomousBike66,chargingStation[72],13:18:08,16:42:16,204.13333333333333,24.40545602917867,100.0,75.59454397082133
30138,16:44:36,false,210,35000.0,3.888888888888889,0,autonomousBike68,chargingStation[18],13:11:38,16:44:36,212.96666666666667,21.134020298086124,100.0,78.86597970191387
30263,16:48:46,false,210,35000.0,3.888888888888889,0,autonomousBike67,chargingStation[12],13:20:20,16:48:46,208.43333333333334,22.80437819074909,100.0,77.19562180925091
30343,16:51:26,false,210,35000.0,3.888888888888889,0,autonomousBike184,chargingStation[21],13:23:54,16:51:26,207.53333333333333,23.144696622502785,100.0,76.85530337749722
30377,16:52:34,false,210,35000.0,3.888888888888889,0,autonomousBike96,chargingStation[3],13:21:02,16:52:34,211.53333333333333,21.663952749198888,100.0,78.33604725080112
30436,16:54:32,false,210,35000.0,3.888888888888889,0,autonomousBike176,chargingStation[35],13:26:10,16:54:32,208.36666666666667,22.835636195829505,100.0,77.16436380417049
30566,16:58:52,false,210,35000.0,3.888888888888889,0,autonomousBike35,chargingStation[37],13:32:56,16:58:52,205.93333333333334,23.73323550588068,100.0,76.26676449411931
30677,17:02:34,false,210,35000.0,3.888888888888889,0,autonomousBike34,chargingStation[68],13:37:12,17:02:34,205.36666666666667,23.940663383778666,100.0,76.05933661622134
30729,17:04:18,false,210,35000.0,3.888888888888889,0,autonomousBike167,chargingStation[29],13:31:14,17:04:18,213.06666666666666,21.095336750959053,100.0,78.90466324904095
