,Agent,Activity,Message,Package Number,Latitude,Longitude
0,autonomousBike2,Delivery,Usedpackage[3124],3124,-71.15134153548219,42.37965667271044
1,autonomousBike3,Delivery,Usedpackage[3749],3749,-71.1580204,42.37943909999988
2,autonomousBike5,Delivery,Usedpackage[3521],3521,-71.14308551664661,42.37804910759264
3,autonomousBike6,Delivery,Usedpackage[3566],3566,-71.10778387649923,42.35866393023248
4,autonomousBike9,Delivery,Usedpackage[3914],3914,-71.10119590000001,42.36376439999987
5,autonomousBike11,Delivery,Usedpackage[3873],3873,-71.102547,42.36445799999988
6,autonomousBike14,Delivery,Usedpackage[3754],3754,-71.138932,42.38096999999986
7,autonomousBike18,Delivery,Usedpackage[3138],3138,-71.13963199999999,42.384426999999874
8,autonomousBike22,Delivery,Usedpackage[3985],3985,-71.100137,42.362182999999874
9,autonomousBike25,Delivery,Usedpackage[3545],3545,-71.15288650867454,42.37751946318678
10,autonomousBike29,Delivery,Usedpackage[3454],3454,-71.140794,42.38621899999986
11,autonomousBike32,Delivery,Usedpackage[2266],2266,-71.15356086212047,42.37601386684409
12,autonomousBike43,Delivery,Usedpackage[2329],2329,-71.15446186098833,42.37572007724477
13,autonomousBike44,Delivery,Usedpackage[3125],3125,-71.15324905320466,42.37922866718104
14,autonomousBike46,Delivery,Usedpackage[3976],3976,-71.11189990433964,42.37606661773802
15,autonomousBike47,Delivery,Usedpackage[3207],3207,-71.15410297222816,42.37560146135293
16,autonomousBike50,Delivery,Usedpackage[1485],1485,-71.15391084532482,42.37933084567747
17,autonomousBike51,Delivery,Usedpackage[3967],3967,-71.090546,42.36188899999986
18,autonomousBike52,Delivery,Usedpackage[3652],3652,-71.07327511953629,42.36991780876925
19,autonomousBike55,Delivery,Usedpackage[3738],3738,-71.1328884102288,42.37863925990304
20,autonomousBike57,Delivery,Usedpackage[3273],3273,-71.13571321005296,42.38317918939106
21,autonomousBike60,Delivery,Usedpackage[3871],3871,-71.10248399999999,42.36486499999988
22,autonomousBike62,Delivery,Usedpackage[3917],3917,-71.09384525746042,42.35731286087455
23,autonomousBike67,Delivery,Usedpackage[3831],3831,-71.09384525746042,42.35731286087455
24,autonomousBike69,Delivery,Usedpackage[3656],3656,-71.07327511953629,42.36991780876925
25,autonomousBike71,Delivery,Usedpackage[823],823,-71.15514459259802,42.37805779158183
26,autonomousBike72,Delivery,Usedpackage[3947],3947,-71.09684399999999,42.36365299999988
27,autonomousBike75,Delivery,Usedpackage[3935],3935,-71.102754,42.36503399999988
28,autonomousBike76,Delivery,Usedpackage[478],478,-71.15324905320466,42.37922866718104
29,autonomousBike78,Delivery,Usedpackage[41],41,-71.15363739122618,42.37867488624446
30,autonomousBike84,Delivery,Usedpackage[3451],3451,-71.14891800000001,42.37575699999988
31,autonomousBike87,Delivery,Usedpackage[3868],3868,-71.102754,42.36503399999988
32,autonomousBike88,Delivery,Usedpackage[3646],3646,-71.07327511953629,42.36991780876925
33,autonomousBike89,Delivery,Usedpackage[3550],3550,-71.112111,42.357064999999885
34,autonomousBike91,Delivery,Usedpackage[3862],3862,-71.07327511953629,42.36991780876925
35,autonomousBike93,Delivery,Usedpackage[3581],3581,-71.14989083054971,42.377207003912766
36,autonomousBike94,Delivery,Usedpackage[1783],1783,-71.15288650867454,42.37751946318678
37,autonomousBike95,Delivery,Usedpackage[1903],1903,-71.15324905320466,42.37922866718104
38,autonomousBike103,Delivery,Usedpackage[3645],3645,-71.07327511953629,42.36991780876925
39,autonomousBike109,Delivery,Usedpackage[3870],3870,-71.102604,42.36497899999988
40,autonomousBike110,Delivery,Usedpackage[3902],3902,-71.13035700788235,42.39150759359938
41,autonomousBike113,Delivery,Usedpackage[3500],3500,-71.13643064793214,42.37596342264755
42,autonomousBike114,Delivery,Usedpackage[705],705,-71.15362494393047,42.37834204898599
43,autonomousBike117,Delivery,Usedpackage[3628],3628,-71.13067222041845,42.382405641819
44,autonomousBike119,Delivery,Usedpackage[2501],2501,-71.147952,42.38911899999989
45,autonomousBike120,Delivery,Usedpackage[3751],3751,-71.1491115723017,42.37685297385448
46,autonomousBike122,Delivery,Usedpackage[3526],3526,-71.15361042651939,42.37904099981604
47,autonomousBike126,Delivery,Usedpackage[3908],3908,-71.082109,42.36293399999988
