Cycle,Time,Traditional Scenario,Num Autonomous Bikes,Autonomous Bikes Battery Life,AB PickUp Speed,Num Cars,Agent,Gas Station,Start Time,End Time,Duration (min),Start Fuel %,End Fuel %,Fuel Gain %
11236,06:14:32,true,200,50000.0,2.2222222222222223,10,car3,gasstation[5],06:11:58,06:14:32,2.566666666666667,14.722334142947505,100.0,85.2776658570525
24005,13:20:10,true,200,50000.0,2.2222222222222223,10,car0,gasstation[6],13:17:36,13:20:10,2.566666666666667,14.58547453098517,100.0,85.41452546901482
24852,13:48:24,true,200,50000.0,2.2222222222222223,10,car6,gasstation[6],13:45:48,13:48:24,2.6,14.079463937518574,100.0,85.92053606248143
26054,14:28:28,true,200,50000.0,2.2222222222222223,10,car1,gasstation[2],14:25:54,14:28:28,2.566666666666667,14.677474109833529,100.0,85.32252589016647
26584,14:46:08,true,200,50000.0,2.2222222222222223,10,car2,gasstation[0],14:43:32,14:46:08,2.6,13.57260130176712,100.0,86.42739869823288
27575,15:19:10,true,200,50000.0,2.2222222222222223,10,car7,gasstation[5],15:16:34,15:19:10,2.6,14.23247576561461,100.0,85.76752423438539
28079,15:35:58,true,200,50000.0,2.2222222222222223,10,car4,gasstation[5],15:33:24,15:35:58,2.566666666666667,14.83547991213077,100.0,85.16452008786923
34337,19:04:34,true,200,50000.0,2.2222222222222223,10,car9,gasstation[5],19:02:00,19:04:34,2.566666666666667,14.451597265636225,100.0,85.54840273436378
35251,19:35:02,true,200,50000.0,2.2222222222222223,10,car5,gasstation[0],19:32:26,19:35:02,2.6,14.415874689542457,100.0,85.58412531045755
35701,19:50:02,true,200,50000.0,2.2222222222222223,10,car8,gasstation[6],19:47:26,19:50:02,2.6,14.241314785093696,100.0,85.75868521490631
38395,21:19:50,true,200,50000.0,2.2222222222222223,10,car3,gasstation[6],21:17:14,21:19:50,2.6,13.904632556389599,100.0,86.0953674436104
