Cycle,Time,Traditional Scenario,Num Autonomous Bikes,Autonomous Bikes Battery Life,AB PickUp Speed,Num Cars,Agent,Trip Served,Mode,Wait Time (min),Departure Time,Arrival Time,Duration (min),Origin [lat],Origin [lon],Destination [lat],Destination [lon],Distance (m)
244,00:40:40,false,50,65000.0,1.3888888888888888,40,package0,true,1,2.8333333333333335,00:16:00,00:40:40,24.666666666666668,-71.101451000006,42.36366399999338,-71.11065400000612,42.37549199999319,1554.2907527762468
333,00:55:30,false,50,65000.0,1.3888888888888888,40,package1,true,1,2.6666666666666665,00:49:50,00:55:30,5.666666666666667,-71.09707700000592,42.36174499999345,-71.09797574176996,42.36450614813521,374.411502505094
383,01:03:50,false,50,65000.0,1.3888888888888888,40,package2,true,1,0.8333333333333334,01:00:00,01:03:50,3.8333333333333335,-71.11596600000621,42.372207999993094,-71.11605900000619,42.37418199999309,296.4106399606242
413,01:08:50,false,50,65000.0,1.3888888888888888,40,package10,true,1,4.0,01:03:10,01:08:50,5.666666666666667,-71.11851900000622,42.37028199999305,-71.1157767625507,42.37033231709687,409.70637244191363
444,01:14:00,false,50,65000.0,1.3888888888888888,40,package9,true,1,6.5,01:05:40,01:14:00,8.333333333333334,-71.10486700000604,42.37729799999332,-71.10440660414969,42.37341307249628,473.28410633496253
474,01:19:00,false,50,65000.0,1.3888888888888888,40,package6,true,1,3.3333333333333335,01:02:30,01:19:00,16.5,-71.10486700000604,42.37729799999332,-71.11314180000616,42.369951799993146,1123.761251014736
495,01:22:30,false,50,65000.0,1.3888888888888888,40,package3,true,1,5.0,01:04:10,01:22:30,18.333333333333332,-71.10486700000604,42.37729799999332,-71.11490500000622,42.37091699999311,1194.6093338863473
495,01:22:30,false,50,65000.0,1.3888888888888888,40,package4,true,1,4.5,01:03:40,01:22:30,18.833333333333332,-71.10601000000607,42.37818199999328,-71.11743800000625,42.37121899999307,1277.5954000863596
504,01:24:00,false,50,65000.0,1.3888888888888888,40,package8,true,1,6.5,01:05:40,01:24:00,18.333333333333332,-71.10486700000604,42.37729799999332,-71.11490500000622,42.37091699999311,1194.6093338863473
509,01:24:50,false,50,65000.0,1.3888888888888888,40,package7,true,1,4.666666666666667,01:03:50,01:24:50,21.0,-71.10486700000604,42.37729799999332,-71.11743800000625,42.37121899999307,1338.530910264458
520,01:26:40,false,50,65000.0,1.3888888888888888,40,package5,true,1,5.0,01:04:10,01:26:40,22.5,-71.10486700000604,42.37729799999332,-71.11994700000626,42.372041999993016,1452.3355355467734
652,01:48:40,false,50,65000.0,1.3888888888888888,40,package11,true,1,2.0,01:13:10,01:48:40,35.5,-71.10096500000598,42.36907199999338,-71.1224763412891,42.377946338805884,2099.772573336289
664,01:50:40,false,50,65000.0,1.3888888888888888,40,package13,true,1,5.666666666666667,01:48:50,01:50:40,1.8333333333333333,-71.10884400000609,42.36821099999323,-71.11030028564387,42.36793509812265,126.91350924483629
697,01:56:10,false,50,65000.0,1.3888888888888888,40,package12,true,1,4.0,01:47:10,01:56:10,9.0,-71.11602300000621,42.368396999993095,-71.11605900000619,42.37418199999309,763.275415334142
1070,02:58:20,false,50,65000.0,1.3888888888888888,40,package14,true,1,5.5,02:51:40,02:58:20,6.666666666666667,-71.09890100000595,42.37366999999341,-71.09543890187521,42.373179443263126,427.9843927447031
1146,03:11:00,false,50,65000.0,1.3888888888888888,40,package15,true,1,1.3333333333333333,02:52:30,03:11:00,18.5,-71.09509300000589,42.3731539999935,-71.11104540070674,42.37584198589955,1408.0817985526428
1192,03:18:40,false,50,65000.0,1.3888888888888888,40,package16,true,1,3.5,03:14:40,03:18:40,4.0,-71.10242300000601,42.36502799999335,-71.10168714366695,42.367220395544386,328.88827709072984
1361,03:46:50,false,50,65000.0,1.3888888888888888,40,package17,true,1,5.166666666666667,03:21:20,03:46:50,25.5,-71.10290700000601,42.36421699999334,-71.10748700000609,42.37784899999325,1563.7243636775552
1381,03:50:10,false,50,65000.0,1.3888888888888888,40,package19,true,1,8.0,03:45:10,03:50:10,5.0,-71.10486700000604,42.37729799999332,-71.10313590641844,42.37837049228019,241.79201649638057
1421,03:56:50,false,50,65000.0,1.3888888888888888,40,package18,true,1,5.833333333333333,03:30:00,03:56:50,26.833333333333332,-71.09084300000585,42.36608399999356,-71.1088549575541,42.356275008033805,1890.8050008386604
1546,04:17:40,false,50,65000.0,1.3888888888888888,40,package22,true,1,6.333333333333333,04:08:30,04:17:40,9.166666666666666,-71.09568600000591,42.379302999993484,-71.09301000000583,42.37549199999353,566.6120733210728
1675,04:39:10,false,50,65000.0,1.3888888888888888,40,package20,true,1,3.3333333333333335,03:55:30,04:39:10,43.666666666666664,-71.1206420000063,42.373492999993005,-71.08482392188249,42.36835011690024,3051.201138534237
1681,04:40:10,false,50,65000.0,1.3888888888888888,40,package21,true,1,4.0,03:56:10,04:40:10,44.0,-71.12070100000629,42.374033999992996,-71.0850277742018,42.3683272742841,3090.9272333214076
1780,04:56:40,false,50,65000.0,1.3888888888888888,40,package27,true,1,2.5,04:52:40,04:56:40,4.0,-71.11073600000613,42.3729679999932,-71.11137621104501,42.37157225682354,276.7697136801482
1788,04:58:00,false,50,65000.0,1.3888888888888888,40,package26,true,1,6.5,04:55:40,04:58:00,2.3333333333333335,-71.11140000000616,42.36962799999319,-71.11314180000616,42.369951799993146,202.20808064614064
1795,04:59:10,false,50,65000.0,1.3888888888888888,40,package23,true,1,2.8333333333333335,04:41:00,04:59:10,18.166666666666668,-71.1099240000061,42.36868899999322,-71.11359763414602,42.35782161933708,1306.7476603253192
1831,05:05:10,false,50,65000.0,1.3888888888888888,40,package25,true,1,7.166666666666667,04:53:20,05:05:10,11.833333333333334,-71.10071600000599,42.363334999993384,-71.10626852003094,42.35777753403353,870.1717466861982
1848,05:08:00,false,50,65000.0,1.3888888888888888,40,package28,true,1,10.166666666666666,05:02:20,05:08:00,5.666666666666667,-71.101502000006,42.37452099999337,-71.10453394294528,42.373469899135166,336.3776894278511
1849,05:08:10,false,50,65000.0,1.3888888888888888,40,package24,true,1,6.166666666666667,04:50:20,05:08:10,17.833333333333332,-71.101451000006,42.36366399999338,-71.11577810067517,42.3706987543137,1448.7721537320683
1865,05:10:50,false,50,65000.0,1.3888888888888888,40,package29,true,1,1.5,04:59:40,05:10:50,11.166666666666666,-71.09543000000593,42.373188999993495,-71.09279620689138,42.377821793074425,577.0806875251039
1947,05:24:30,false,50,65000.0,1.3888888888888888,40,package33,true,1,6.833333333333333,05:24:00,05:24:30,0.5,-71.09890100000595,42.37366999999341,-71.09894466843576,42.37366666991612,47.42953636640196
1983,05:30:30,false,50,65000.0,1.3888888888888888,40,package35,true,1,4.166666666666667,05:28:20,05:30:30,2.1666666666666665,-71.10486700000604,42.37729799999332,-71.10339906206926,42.37680794866704,183.22645544631519
2003,05:33:50,false,50,65000.0,1.3888888888888888,40,package32,true,1,3.8333333333333335,05:16:00,05:33:50,17.833333333333332,-71.09297300000587,42.35914199999353,-71.08649000000577,42.36863999999365,1289.6284804906973
