placekey,parent_placekey,location_name,safegraph_brand_ids,brands,top_category,sub_category,naics_code,latitude,longitude,street_address,city,region,postal_code,iso_country_code,phone_number,open_hours,category_tags,opened_on,closed_on,tracking_closed_since,geometry_type
222-223@62j-shx-qmk,,Downtown Physical Therapy and Rehab,"","",Offices of Other Health Practitioners,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",621340,42.364306,-71.079216,215 1st St,Cambridge,MA,02142,US,,,Physical Therapy,,,2019-07-01,POLYGON
223-222@62j-sj3-85f,,CLM Auto Repair,"","",Automotive Repair and Maintenance,,8111,42.373421,-71.094973,306 Webster Ave,Cambridge,MA,02141,US,+16174976722,"{ ""Mon"": [[""8:00"", ""18:00""]], ""Tue"": [[""8:00"", ""18:00""]], ""Wed"": [[""8:00"", ""18:00""]], ""Thu"": [[""8:00"", ""18:00""]], ""Fri"": [[""8:00"", ""18:00""]], ""Sat"": [[""8:00"", ""15:00""]], ""Sun"": [] }","Auto Repair,Body Shops",,,2019-07-01,POLYGON
225-226@62j-sk2-yn5,,Candlewick Press,"","",Other Miscellaneous Store Retailers,All Other Miscellaneous Store Retailers (except Tobacco Stores),453998,42.391647,-71.123117,2067 Massachusetts Ave,Cambridge,MA,02140,US,+16176613330,,Candles,,,2019-07-01,POLYGON
22b-222@62j-sj2-wp9,,Apartments at 71 Porter St,"","",Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,42.373801,-71.089887,71 Porter St,Cambridge,MA,02141,US,,,"",,,2019-07-01,POLYGON
22d-222@62j-sjv-q75,,Apartments at 6 Craigie Cir,"","",Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,42.379212,-71.127279,6 Craigie Cir,Cambridge,MA,02138,US,,,"",,,2019-07-01,POLYGON
22g-226@62j-sjt-y35,22g-223@62j-sjt-y35,Fertility Solutions,"","",Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111,42.374222,-71.134327,330 Mount Auburn St,Cambridge,MA,02138,US,,,Fertility,,,2019-07-01,POLYGON
22h-223@62j-sjz-jqf,,Apartments at 2456 Massachusetts Ave,"","",Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,42.39815,-71.131824,2456 Massachusetts Ave,Cambridge,MA,02140,US,,,"",,,2019-07-01,POLYGON
22k-222@62j-sjs-s89,,Apartments at 4 Van Norden St,"","",Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,42.391556,-71.130126,4 Van Norden St,Cambridge,MA,02140,US,,,"",,,2019-07-01,POLYGON
22n-222@62j-sjy-b6k,,Spievack Alan R MD,"","",Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,713940,42.376361,-71.145118,6 Old Dee Rd,Cambridge,MA,02138,US,+16175479060,,"",,,2019-07-01,POLYGON
22q-223@62j-sk3-249,,Apartments at 1670 Massachusetts Ave,"","",Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,42.382026,-71.12007,1670 Massachusetts Ave,Cambridge,MA,02138,US,,,"",,,2019-07-01,POLYGON
22r-222@62j-sjv-j35,,Apartments at 10 Ellery St,"","",Lessors of Real Estate,Lessors of Residential Buildings and Dwellings,531110,42.370198,-71.111224,10 Ellery St,Cambridge,MA,02138,US,,,"",,,2019-07-01,POLYGON
