placekey,latitude,longitude,top_category,open_hours,location_name
222-222@62j-sj2-sqz,42.365577,-71.10589399999999,Religious Organizations,,The Church In Cambridge Inc
222-222@62j-sk2-5vf,42.412631,-71.130714,Lessors of Real Estate,,Condos at 363 Alewife Brook Pkwy
223-222@62j-sj2-hh5,42.370093,-71.102315,Other Amusement and Recreation Industries,"{ ""Mon"": [[""18:00"", ""19:30""]], ""Tue"": [], ""Wed"": [], ""Thu"": [], ""Fri"": [], ""Sat"": [], ""Sun"": [] }",Come To Yoga With Barbara Lyon
224-222@62j-shx-jn5,42.370986,-71.078249,Lessors of Real Estate,,Apartments at 151 Cambridge St
224-222@62j-sj2-kcq,42.373707,-71.104915,Lessors of Real Estate,,Condos at 74 Highland Ave
224-222@62j-sjz-9zz,42.402403,-71.125826,Lessors of Real Estate,,Apartments at 1092 Broadway
225-222@62j-sj8-grk,42.388042999999996,-71.086534,Lessors of Real Estate,,Apartments at 15 Cross St
226-222@62j-sj2-7bk,42.369144,-71.09089499999999,Lessors of Real Estate,,Apartments at 15 Vandine St
226-222@62j-sj2-ks5,42.371825,-71.101943,Lessors of Real Estate,,Apartments at 97 Inman St
226-222@62j-sj3-5j9,42.365056,-71.079892,Restaurants and Other Eating Places,"{ ""Mon"": [[""10:30"", ""20:30""]], ""Tue"": [[""10:30"", ""20:30""]], ""Wed"": [[""10:30"", ""20:30""]], ""Thu"": [[""10:30"", ""20:30""]], ""Fri"": [[""10:30"", ""20:30""]], ""Sat"": [], ""Sun"": [] }",Bon Me Test Kitchen
227-222@62j-sjy-zpv,42.406208,-71.12966800000001,Lessors of Real Estate,,Apartments at 40 Belknap St
228-222@62j-sj8-qmk,42.383479,-71.08511999999999,Lessors of Real Estate,,Apartments at 53 Franklin St
228-222@62j-sjz-k4v,42.398565000000005,-71.129915,Lessors of Real Estate,,Apartments at 18 Camp St
228-222@62j-sk2-k4v,42.391702,-71.106813,Automotive Repair and Maintenance,,Auto Plus
229-222@62j-sjr-zcq,42.388172999999995,-71.142554,Offices of Other Health Practitioners,"{ ""Mon"": [[""8:00"", ""17:00""]], ""Tue"": [[""8:00"", ""17:00""]], ""Wed"": [[""8:00"", ""17:00""]], ""Thu"": [[""8:00"", ""17:00""]], ""Fri"": [[""8:00"", ""17:00""]], ""Sat"": [], ""Sun"": [] }",Friedman Nina Licsw
22b-222@62j-sj3-bhq,42.380974,-71.096175,Lessors of Real Estate,,Condos at 16 Warren Ave
22c-222@62j-sj3-cbk,42.380309999999994,-71.09947199999999,Lessors of Real Estate,,Apartments at 25 Lake St
22d-222@62j-sj3-9s5,42.373919,-71.098271,Lessors of Real Estate,,Apartments at 10 Clary St
22d-222@62j-sj8-gkz,42.387215999999995,-71.088511,Lessors of Real Estate,,Apartments at 42 Everett Ave
22f-222@62j-sj2-p35,42.364208000000005,-71.102297,Other Schools and Instruction,"{ ""Mon"": [[""9:00"", ""21:00""]], ""Tue"": [[""9:00"", ""21:00""]], ""Wed"": [[""9:00"", ""21:00""]], ""Thu"": [[""9:00"", ""21:00""]], ""Fri"": [[""9:00"", ""21:00""]], ""Sat"": [[""9:00"", ""21:00""]], ""Sun"": [[""9:00"", ""21:00""]] }",LS Flamenco
22f-222@62j-sj3-4y9,42.369825,-71.083167,Lessors of Real Estate,,Apartments at 114 Thorndike St
22f-222@62j-sj8-pgk,42.381882,-71.09474200000001,Lessors of Real Estate,,Condos at 61 Columbus Ave
22f-222@62j-sk2-rrk,42.379106,-71.103804,Lessors of Real Estate,,Apartments at 361 Washington St
22h-222@62j-sj8-qxq,42.384714,-71.085212,Lessors of Real Estate,,Apartments at 88 Pearl St
22h-222@62j-sk2-k2k,42.389961,-71.108858,Lessors of Real Estate,,Apartments at 14 Tower St
22k-222@62j-sjz-x89,42.399607,-71.11176,Restaurants and Other Eating Places,"{ ""Mon"": [[""0:00"", ""1:00""], [""11:30"", ""24:00""]], ""Tue"": [[""0:00"", ""1:00""], [""11:30"", ""24:00""]], ""Wed"": [[""0:00"", ""1:00""], [""11:30"", ""24:00""]], ""Thu"": [[""0:00"", ""1:00""], [""11:30"", ""24:00""]], ""Fri"": [[""0:00"", ""1:00""], [""11:30"", ""24:00""]], ""Sat"": [[""0:00"", ""1:00""], [""11:30"", ""24:00""]], ""Sun"": [[""0:00"", ""1:00""], [""11:30"", ""24:00""]] }",The Pub
22n-222@62j-sj2-4d9,42.370292,-71.09400699999999,Lessors of Real Estate,,Apartments at 376 Windsor St
22q-222@62j-sj2-hwk,42.370397,-71.109585,Lessors of Real Estate,,Apartments at 14 Dana St
22x-222@62j-sk3-hkf,42.385443,-71.0954,Lessors of Real Estate,,Apartments at 48 Highland Ave
22y-222@62j-sk3-9s5,42.394886,-71.09916899999999,Lessors of Real Estate,,Apartments at 198 Central St
232-222@62j-sj3-85f,42.372795,-71.094923,Lessors of Real Estate,,Apartments at 1054 Cambridge St
235-222@62j-sj2-k75,42.372906,-71.103851,Lessors of Real Estate,,Apartments at 27 Fainwood Cir
238-222@62j-sjz-ndv,42.400124,-71.128914,Lessors of Real Estate,,Condos at 22 Malvern Ave
238-222@62j-sjz-xdv,42.400201,-71.113892,Lessors of Real Estate,,Apartments at 5 Lowden Ave
239-222@62j-sjs-n3q,42.378465000000006,-71.153611,Lessors of Real Estate,,Condos at 9 May St
239-222@62j-sjv-ju5,42.365157,-71.112138,Lessors of Real Estate,,Apartments at 18 Dodge St
23g-222@62j-sk2-p7q,42.282075,-71.02036899999999,Lessors of Real Estate,,Apartments at 16 Magnolia Ave
23j-222@62j-sj2-sqz,42.365688,-71.106087,Lessors of Real Estate,,Apartments at 10 Pleasant St
23m-222@62j-sj8-q4v,42.379402,-71.091611,Building Finishing Contractors,,Bathroom Remodeling
23p-222@62j-sj2-kmk,42.375665999999995,-71.103592,Lessors of Real Estate,,Apartments at 50 Beacon St
23q-222@62j-sk2-hwk,42.387977,-71.113458,Lessors of Real Estate,,Apartments at 14 Linden Cir
23q-222@62j-sk2-mkz,42.391673,-71.113284,Lessors of Real Estate,,Apartments at 6 Aberdeen Rd
243-222@62j-sk3-ks5,42.397507,-71.111581,Lessors of Real Estate,,Apartments at 9 Highland Rd
244-222@62j-sjv-f75,42.364653999999994,-71.11519200000001,Lessors of Real Estate,,Harvard University Housing
249-222@62j-sj3-cnq,42.380796000000004,-71.098034,Restaurants and Other Eating Places,,Sally O'Brien's
24j-222@62j-sjz-87q,42.401218,-71.120386,Lessors of Real Estate,,Condos at 939 Broadway
254-223@62j-sk2-p7q,42.377897,-71.107366,Lessors of Real Estate,,Apartments at 92 Kirkland St
255-222@62j-sk3-5zz,42.384398,-71.12230100000001,Lessors of Real Estate,,Condos at 4 6 Washington Ave
28z-223@62j-sj2-h5z,42.369468,-71.104582,Lessors of Real Estate,,Apartments at 287 Harvard St
zzw-222@62j-sj2-b49,42.359142,-71.092973,Restaurants and Other Eating Places,,Steam Cafe
zzw-222@62j-sj8-6c5,42.391898,-71.077962,Personal Care Services,"{ ""Mon"": [[""10:00"", ""19:30""]], ""Tue"": [[""10:00"", ""19:30""]], ""Wed"": [[""10:00"", ""19:30""]], ""Thu"": [[""10:00"", ""19:30""]], ""Fri"": [[""10:00"", ""19:30""]], ""Sat"": [[""9:30"", ""18:00""]], ""Sun"": [[""10:00"", ""16:00""]] }",AR Nail Bar & Lounge
zzw-224@62j-sj2-vcq,42.374390999999996,-71.084562,Medical and Diagnostic Laboratories,,Health Street
zzw-225@62j-sk2-tsq,42.391434000000004,-71.122743,Restaurants and Other Eating Places,"{ ""Mon"": [], ""Tue"": [[""17:00"", ""24:00""]], ""Wed"": [[""17:00"", ""24:00""]], ""Thu"": [[""17:00"", ""24:00""]], ""Fri"": [[""17:00"", ""24:00""]], ""Sat"": [[""0:00"", ""1:00""], [""17:00"", ""24:00""]], ""Sun"": [[""0:00"", ""1:00""], [""17:00"", ""23:00""]] }",Gustazo Cuban Restaurant & Cafe
zzw-22g@62j-sjv-9fz,42.373233,-71.122151,Lessors of Real Estate,,Apartments at 115 Mt Auburn St
zzy-223@62j-sj2-f2k,42.362251,-71.088964,Specialty (except Psychiatric and Substance Abuse) Hospitals,,MIT Building 76 Koch Institute for Integrative Cancer Research
