id,amenity,name,lat,lon,capacity
69504598,bus_station,Harvard Square,42.3733695,-71.1189903,
182894406,research_institute,Picower Institute for Learning and Memory (MIT),42.3623061,-71.0912936,
182895807,research_institute,McGovern Institute for Brain Research (MIT),42.3626295,-71.0914481,
257493789,police,Cambridge Police Dept,42.3749188,-71.1144991,
257493900,police,Cambridge Police Department,42.3672754,-71.0861518,
257493974,police,Harvard University Police,42.3787447,-71.123779,
257494617,fire_station,Somerville Fire Department,42.3789022,-71.0925588,
257535986,library,Cambridge Hospital Bor Medical Library,42.374487,-71.1042697,
257536184,library,Cmes Teaching Resource Center,42.3755807,-71.1139584,
257536781,library,Bakalar Music Library,42.3787529,-71.1233952,
257537277,library,Regional Center For Healthy Communities,42.3644143,-71.1025321,
257578529,school,Community Charter School of Cambridge,42.3679174,-71.0846841,
257580793,school,Castle School Inc,42.369517,-71.1057346,
313409064,atm,,42.3596925,-71.0917204,
317333141,ice_cream,Toscanini's,42.3635462,-71.0994275,
345825149,post_box,United States Postal Service,42.3793849,-71.100909,
346380369,bank,Cambridge Savings Bank,42.3651922,-71.1038304,
358260272,place_of_worship,First Church Congregational,42.3781524,-71.1208861,
358276855,place_of_worship,Church of God of Prophecy,42.3667638,-71.0967187,
358276915,place_of_worship,First Church of Christ Scientist,42.3784301,-71.1208861,
358276974,school,Harvard University Divinity School,42.3797311,-71.1130415,
358276976,university,Harvard Business School,42.3662761,-71.1220041,
358276992,place_of_worship,Immaculate Conception Lithuanian Church,42.371486,-71.0936632,
358277009,university,John F Kennedy School of Government,42.3715439,-71.122104,
358277036,college,Longy School of Music of Bard College,42.3784429,-71.1233492,
358277050,place_of_worship,Massachusetts Avenue Baptist Church,42.3709399,-71.0977808,
358277108,school,Old Cambridge Baptist Church School,42.371748,-71.1141841,
358277135,place_of_worship,Portuguese Baptist Church,42.3723192,-71.1011634,
358277153,place_of_worship,Sacred Heart Church,42.3709304,-71.0850518,
358277155,place_of_worship,Sacred Heart of Jesus Catholic Church,42.3709304,-71.0853295,
358277224,school,St. Paul’s Choir School,42.3712797,-71.1157169,
358277231,place_of_worship,Santo Cristo Center,42.3734303,-71.0975522,
