id,amenity,name,lat,lon
61429995,parking_entrance,,42.3546475,-71.0684315
69504598,bus_station,Harvard Square,42.3733695,-71.1189903
182894406,research_institute,Picower Institute for Learning and Memory (MIT),42.3623061,-71.0912936
182895807,research_institute,McGovern Institute for Brain Research (MIT),42.3626295,-71.0914481
257486704,prison,Suffolk County Jail,42.3672757,-71.0663292
257489564,hospital,Massachusetts Eye and Ear,42.362739,-71.0701541
257493789,police,Cambridge Police Dept,42.3749188,-71.1144991
257493900,police,Cambridge Police Department,42.3672754,-71.0861518
257493974,police,Harvard University Police,42.3787447,-71.123779
257494413,fire_station,Somerville Fire Department,42.3846647,-71.1113341
257494424,fire_station,Belmont Fire Department,42.3794391,-71.1580204
257494617,fire_station,Somerville Fire Department,42.3789022,-71.0925588
257494889,fire_station,Somerville Fire Department Headquarters,42.3908461,-71.0912369
257494989,fire_station,Somerville Fire Department Engine 7,42.3916806,-71.1108341
257495006,fire_station,"Boston Fire Department Engine 32, Ladder 9",42.383825,-71.071579
257495035,fire_station,Cambridge Fire Department,42.3711772,-71.0787804
257495138,fire_station,Medford Fire Department,42.4013136,-71.1058309
257535636,library,WGBH Media Library and Archives,42.3570746,-71.148036
257535644,library,Treadwell Library,42.3627265,-71.0674149
257535986,library,Cambridge Hospital Bor Medical Library,42.374487,-71.1042697
257536184,library,Cmes Teaching Resource Center,42.3755807,-71.1139584
257536214,library,Amnesty International-Northeast Regional Office Library,42.39574,-71.12342
257536288,library,Percy Howe Memorial Library,42.3635926,-71.0787469
257536482,library,The Libraries,42.3633915,-71.0694278
257536521,library,,42.3806833,-71.1309842
257536781,library,Bakalar Music Library,42.3787529,-71.1233952
257536976,library,Cummings School Library,42.3854932,-71.0992628
257537277,library,Regional Center For Healthy Communities,42.3644143,-71.1025321
257537379,library,Information Resource Center,42.3621237,-71.0845627
257537408,library,Bunker Hill Community College Library,42.3759427,-71.0702095
257537637,library,Advent School Library,42.3582426,-71.0721306
257537654,library,Patient And Family Learning Center,42.3629815,-71.0685994
257537682,library,Harrison Lyman Library,42.367256,-71.070508
257578310,school,The Learning Project Elementary School,42.3535373,-71.0770897
257578529,school,Community Charter School of Cambridge,42.3679174,-71.0846841
257579786,school,St Peter Elem,42.3818619,-71.1307368
257580327,school,St Clement Elementary,42.4021683,-71.1136094
257580477,school,Benjamin Banneker Charter Public School,42.3921276,-71.1316899
257580598,school,Advent School,42.3582148,-71.0719535
257580702,school,Park Street School,42.3563955,-71.0717155
257580793,school,Castle School Inc,42.369517,-71.1057346
257581142,school,Full Circle High School,42.3874449,-71.0876142
257581160,school,Prospect Hill Academy Charter School,42.36777,-71.1007189
268088128,fountain,,42.3691064,-71.0759259
313378293,parking,,42.3676892,-71.0772986
313409064,atm,,42.3596925,-71.0917204
317333141,ice_cream,Toscanini's,42.3635462,-71.0994275
325495023,parking_entrance,,42.3743117,-71.1323594
327587343,bank,TD Bank,42.3609833,-71.067734
328101383,parking_entrance,,42.3958889,-71.1437272
329705548,fast_food,Big Daddy's,42.3623367,-71.1408231
345423100,fuel,Sunoco,42.390655,-71.0907264
345423108,restaurant,Romanza Pizzaria,42.3940091,-71.0872016
345423146,fast_food,Dunkin',42.3835142,-71.1066039
345825149,post_box,,42.3793849,-71.100909
345869775,place_of_worship,Christian Assembly,42.3943331,-71.0840991
