id,building,name,lat,lon
313552811,public,YMCA,42.3669109,-71.1065281
367777172,yes,Building B,42.3748943,-71.0689559
367777173,yes,Building A,42.3743366,-71.0689684
367777174,yes,Bulfinch Place,42.3698194,-71.0789405
367777182,yes,Center for Advanced Engineering Study,42.3603751,-71.0939408
367777189,yes,Compton Gallery,42.3599534,-71.0918825
367777194,yes,Eye Research Institute,42.3620632,-71.0642571
367777196,yes,Edgerton Germeshausen and Grier Education Center,42.361235,-71.0919971
367777214,yes,Leverett Towers,42.3693622,-71.1164601
367777221,yes,McCusker Center,42.370052,-71.1034489
367777226,yes,New England Institute,42.3606589,-71.068147
367777235,yes,Polish American Citizens Association,42.372287,-71.0890806
367777241,yes,Radcliffe Dance Center,42.3815445,-71.1266876
367777253,yes,Rowland Research Institute,42.3638239,-71.0777401
367777255,yes,Sherman Fairchild Biochemical Laboratories,42.3795413,-71.1128303
367777270,yes,Washburn Pavilion,42.366764,-71.0706069
367777281,yes,World Religions Center,42.3801877,-71.1118777
367777334,yes,Cooper-Davenport Tavern,42.3845412,-71.1131082
367777480,yes,Saint Ann's Rectory,42.3909,-71.099
367779838,yes,Amy Lowell House,42.3656396,-71.0656809
367779845,yes,Atkinson Building,42.3600075,-71.0870948
367779985,yes,Lippman Building,42.3770413,-71.1128303
367779990,yes,Kirkland Building,42.3831524,-71.1167194
367779991,yes,Kirkland Building,42.3778747,-71.1100525
367779996,yes,Jackson Building,42.3608765,-71.0988773
367779999,yes,Jewett Building,42.3803723,-71.112266
367780015,yes,Ignatius House,42.3763467,-71.1124859
367780017,yes,Hepzibah Swan Houses,42.3575072,-71.0669715
367780020,yes,Holman Building,42.3600142,-71.086693
367780022,yes,Hoffman Laboratories,42.3779792,-71.115869
367780023,yes,Hillside Building,42.3853745,-71.1231084
367780024,yes,Hampshire House,42.3560419,-71.0712398
367780026,residential,Hale House,42.3528753,-71.0758847
367780040,yes,Goodale Building,42.3606214,-71.0882642
367780088,yes,Gibbs Building,42.3775969,-71.115886
367780091,yes,George R White Memorial Building,42.3631469,-71.0685739
367780101,yes,Emerson College Student Union,42.3695416,-71.073107
367780105,yes,East Campus Alumni Houses,42.3602922,-71.0883821
367780127,yes,Currier Building,42.3817635,-71.1261641
367780128,yes,Crafts Building,42.3597873,-71.086561
367780131,yes,Converse Building,42.3773191,-71.1147749
367780136,yes,Clark Building,42.3614382,-71.1010402
367780152,yes,Cabot House,42.3809301,-71.1239417
367780155,yes,Busch Reisinger Building,42.3773191,-71.1153304
367780163,yes,Bitter National Magnet Laboratory,42.3597824,-71.0980562
367780167,yes,Bemis Building,42.3604057,-71.0881361
367780173,yes,Walcott Building,42.3601248,-71.0879645
367780174,yes,Walker Building,42.3814857,-71.1225529
367780176,yes,Ware Building,42.3599404,-71.0873199
367780177,yes,Washington Building,42.3850967,-71.1228306
367780179,yes,West End House,42.361692,-71.0671789
367780186,yes,Wood Building,42.3605019,-71.0888289
367780189,yes,Spectroscopy Laboratory,42.3595923,-71.090667
367780190,yes,Sparks Hall,42.3770413,-71.1150527
367780201,yes,Trowbridge Building,42.3717637,-71.1117191
367780206,yes,Shannon Building,42.3795116,-71.1133537
367780209,yes,Sherman Building,42.3672901,-71.1242003
367780210,yes,Shriners Burn Institute Research Center,42.3629506,-71.0662907
367780231,yes,Rockefeller Building,42.3805837,-71.1132251
367780235,yes,Runkle House,42.3600619,-71.0869188
367780236,yes,Rogers Street Building,42.3659305,-71.0778293
367780253,yes,Parsons Laboratory for Water Resources and Hydrodynamics,42.3623194,-71.0906074
367780262,yes,Moore Youth Center,42.3642638,-71.1114413
367780267,yes,Nichols Building,42.3598907,-71.0866135
367780303,yes,Margaret Fuller House,42.3650971,-71.1144969
367780307,yes,Mallinckrodt Hall,42.3773191,-71.1150527
367780619,yes,Chandler House,42.4023187,-71.1225531
367780648,yes,Haskell Hall,42.4023187,-71.1217197
367780697,yes,Mine House,42.4037075,-71.1231086
367780841,yes,Harvard-Radcliffe Catholic Student Center,42.3708,-71.1156
367781293,yes,Lewis Hayden House,42.3600974,-71.0692179
367781294,yes,Coburns Gaming House,42.3604188,-71.0664816
367781296,yes,John J. Smith House,42.3587411,-71.069707
367781317,yes,African Meeting House,42.3599539,-71.0654665
371247606,yes,Eliot House Library,42.3700745,-71.1219298
585463485,yes,American Repertory Theater,42.3748602,-71.1229496
2631291603,yes,Lame Duck Books,42.3711017,-71.1147099
3010430220,university,Conant Lab,42.3769941,-71.1153643
3067066509,warehouse,Extra Space Storage,42.3822642,-71.1033549
3308510447,brewery,Aeronaut Brewing Co.,42.3819723,-71.1062676
3372043693,commercial,Garment District,42.3659161,-71.0929265
3381347728,industrial,Esh Circus Arts,42.3813175,-71.1068507
6965581061,yes,Hayden Building,42.3602562,-71.088684
6965581062,yes,Munroe Building,42.3599979,-71.0885337
7771246824,industrial,,42.357336,-71.0733462
7818275092,boathouse,Charlesgate Yacht Club,42.3666774,-71.0740144
7828185891,yes,kodomo,42.3580135,-71.0705904
7830837826,yes,Rugg Road Paper Co.,42.3591678,-71.0705512
8040900154,yes,Sayat Nova Dance Company,42.3680148,-71.1576141
8749176013,university,Hampden Hall,42.3724774,-71.1162997
8749198579,university,Swartz Hall,42.3802987,-71.1130721
8749198580,university,Andover-Harvard Theological Library,42.3796341,-71.1131551
8817000835,university,E-Building,42.3757984,-71.0702938
8817000836,university,D-Building,42.3754878,-71.069493
8817000837,university,C-BUILDING,42.3751033,-71.0695331
9775410280,entrance,,42.3834521,-71.1436504
