id,id_label,metric,count,change_from_baseline
Week:202216,"Apr 18, 2022",EstimatedSpendHome,1194999.3570251465,-0.4440487235774594
Week:202223,"Jun 6, 2022",EstimatedSpendHome,826769.8614654541,-0.6334390173534091
Week:202213,"Mar 28, 2022",EstimatedSpendHome,1073124.242401123,-0.4025834831026368
Week:202203,"Jan 17, 2022",EstimatedSpendHome,1291663.614807129,-0.3006666816081366
Week:202201,"Jan 3, 2022",EstimatedSpendHome,1535613.048980713,0
Week:202227,"Jul 4, 2022",EstimatedSpendHome,896559.3359680176,-0.6160256953307092
Week:202206,"Feb 7, 2022",EstimatedSpendHome,1103107.8557281494,-0.5329482847033747
Week:202224,"Jun 13, 2022",EstimatedSpendHome,1164586.0657043457,-0.4913325252235478
Week:202212,"Mar 21, 2022",EstimatedSpendHome,1311292.8620910645,-0.3046917522050788
Week:202222,"May 30, 2022",EstimatedSpendHome,1081552.8085479736,-0.5208760360322054
Week:202202,"Jan 10, 2022",EstimatedSpendHome,1591401.4537353516,-0.05318751891076108
Week:202218,"May 2, 2022",EstimatedSpendHome,1035450.4647216797,-0.5409802109284833
Week:202207,"Feb 14, 2022",EstimatedSpendHome,1205128.834411621,-0.495011697458951
Week:202220,"May 16, 2022",EstimatedSpendHome,1023640.0603027344,-0.4970643625409753
Week:202209,"Feb 28, 2022",EstimatedSpendHome,1246872.1264648438,-0.3467399345491654
Week:202217,"Apr 25, 2022",EstimatedSpendHome,1066574.3320617676,-0.4493219196795119
Week:202204,"Jan 24, 2022",EstimatedSpendHome,1354526.3458709717,-0.09842193382040279
Week:202221,"May 23, 2022",EstimatedSpendHome,1174404.3875427246,-0.45383382298463154
Week:202226,"Jun 27, 2022",EstimatedSpendHome,1152847.440612793,-0.46816417032258173
Week:202214,"Apr 4, 2022",EstimatedSpendHome,1161570.3184814453,-0.506277389470025
Week:202225,"Jun 20, 2022",EstimatedSpendHome,1063590.9388427734,-0.5141967092430185
Week:202205,"Jan 31, 2022",EstimatedSpendHome,1444398.922027588,-0.25887563783843165
Week:202208,"Feb 21, 2022",EstimatedSpendHome,1310188.6178283691,-0.3163601048989579
Week:202219,"May 9, 2022",EstimatedSpendHome,1207839.1303710938,-0.4249720689327078
Week:202211,"Mar 14, 2022",EstimatedSpendHome,1298132.951171875,-0.31664891356566616
Week:202210,"Mar 7, 2022",EstimatedSpendHome,1436795.3153381348,-0.1885730078122869
Week:202215,"Apr 11, 2022",EstimatedSpendHome,1085202.5552368164,-0.4428316629649254
