LUDesc,Category,lon_POI,lat_POI
Parklands,Public Open Space,-71.13838992884378,42.39974850192692
Parklands,Public Open Space,-71.1323873071205,42.39987779037291
Parklands,Public Open Space,-71.13271963636805,42.39967001181563
Parklands,Public Open Space,-71.13260403470854,42.39961281653552
Parklands,Public Open Space,-71.13247073128747,42.397825132714864
Parklands,Public Open Space,-71.15550892977782,42.396562910366235
Parklands,Public Open Space,-71.15492234934807,42.396219103374555
Parklands,Public Open Space,-71.13039024296421,42.39567360810877
Parklands,Public Open Space,-71.13052463306482,42.395431626977775
Parklands,Public Open Space,-71.15472409406904,42.39268442170393
Parklands,Public Open Space,-71.12839198518104,42.391087826965666
Parklands,Public Open Space,-71.12731772105977,42.39092100035079
Parklands,Public Open Space,-71.12178003482369,42.391029519339774
Parklands,Public Open Space,-71.12816904498702,42.39018508169203
Parklands,Public Open Space,-71.13858679383151,42.388765146646634
Parklands,Public Open Space,-71.13204218881911,42.38723341197687
Parklands,Public Open Space,-71.127857503275,42.38665367884236
Parklands,Public Open Space,-71.13162191067474,42.3864239546182
Parklands,Public Open Space,-71.11757024109198,42.382777762051965
Parklands,Public Open Space,-71.10148901666726,42.37399274078664
Parklands,Public Open Space,-71.12310163311889,42.3709170883642
Private Open Space,Privately-Owned Open Space,-71.101581907229,42.36150627136859
Parklands,Public Open Space,-71.12055952876905,42.372444847833094
Parklands,Public Open Space,-71.11782516967735,42.383131922625466
Parklands,Public Open Space,-71.11640553337809,42.382853669945064
Parklands,Public Open Space,-71.1427398512033,42.37920115584521
Parklands,Public Open Space,-71.14218770902816,42.379165143616994
Parklands,Public Open Space,-71.12037217120405,42.37827013248155
Parklands,Public Open Space,-71.12419747944479,42.37874074287411
Parklands,Public Open Space,-71.1296408037928,42.37793469294597
Parklands,Public Open Space,-71.1208975045858,42.37678098660515
Parklands,Public Open Space,-71.12709765202965,42.37537235560982
Parklands,Public Open Space,-71.11896383706276,42.37573206140194
Parklands,Public Open Space,-71.13367056371169,42.37519316442585
Parklands,Public Open Space,-71.08350824055223,42.37289629787071
Parklands,Public Open Space,-71.08457798068102,42.37300965454612
Parklands,Public Open Space,-71.08435125728559,42.37286904020809
Parklands,Public Open Space,-71.0848235438373,42.372632536633574
Parklands,Public Open Space,-71.08797394314828,42.372227331514786
Parklands,Public Open Space,-71.08788241949244,42.37221580804507
Parklands,Public Open Space,-71.10862650406301,42.36380690762085
Parklands,Public Open Space,-71.07320228702979,42.368610498156215
Parklands,Public Open Space,-71.10148801515102,42.37100611297372
Parklands,Public Open Space,-71.11445524508682,42.37113055723076
Parklands,Public Open Space,-71.0813301173276,42.37072671949961
Parklands,Public Open Space,-71.09381084881143,42.37078840196942
Parklands,Public Open Space,-71.09361712436737,42.370738776794056
Parklands,Public Open Space,-71.09351116046791,42.370758001161
Parklands,Public Open Space,-71.10509402890258,42.3702380571503
Parklands,Public Open Space,-71.10782016967627,42.36952447290875
