LUDesc,Category,lon_POI,lat_POI
TWO-FAM-RES,Residential,-71.13426439309141,42.40229610151066
TWO-FAM-RES,Residential,-71.13377309109616,42.40226718196413
TWO-FAM-RES,Residential,-71.13362075398908,42.40222404287578
TWO-FAM-RES,Residential,-71.13348337839189,42.40215715906046
TWO-FAM-RES,Residential,-71.13435272816803,42.402187806839606
TWO-FAM-RES,Residential,-71.13408630800997,42.40212154909373
TWO-FAM-RES,Residential,-71.13335530752347,42.40206861249279
TWO-FAM-RES,Residential,-71.13395673404405,42.40205678472759
TWO-FAM-RES,Residential,-71.13382640214003,42.40199047523515
THREE-FM-RES,Residential,-71.13457066832574,42.40202127095197
TWO-FAM-RES,Residential,-71.13323150827166,42.401975634322696
TWO-FAM-RES,Residential,-71.13369610446935,42.401920277558766
TWO-FAM-RES,Residential,-71.13310703102567,42.401884489269555
TWO-FAM-RES,Residential,-71.13357344527957,42.40184078892891
TWO-FAM-RES,Residential,-71.13443604837902,42.40181377882998
TWO-FAM-RES,Residential,-71.13298111225663,42.40179189834077
TWO-FAM-RES,Residential,-71.1334448878442,42.40176833110241
TWO-FAM-RES,Residential,-71.13429477583702,42.40173717945898
TWO-FAM-RES,Residential,-71.13330614599269,42.401698108388686
TWO-FAM-RES,Residential,-71.13415274019894,42.40166006897435
TWO-FAM-RES,Residential,-71.13285007736721,42.40169674858906
TWO-FAM-RES,Residential,-71.13488910381898,42.40164673156703
TWO-FAM-RES,Residential,-71.13316617776123,42.40162858342942
TWO-FAM-RES,Residential,-71.13401041478883,42.40158531123367
TWO-FAM-RES,Residential,-71.13474444561572,42.40158347054091
TWO-FAM-RES,Residential,-71.13386726883937,42.40151719788921
SNGL-FAM-RES,Residential,-71.13302206183585,42.40155601619081
SNGL-FAM-RES,Residential,-71.13459784125384,42.401517708899426
TWO-FAM-RES,Residential,-71.13264893186268,42.401505115016064
TWO-FAM-RES,Residential,-71.13372243189667,42.40144548672138
SNGL-FAM-RES,Residential,-71.1344518883876,42.4014548412471
TWO-FAM-RES,Residential,-71.13253342074886,42.401421164116186
TWO-FAM-RES,Residential,-71.13356989696958,42.40138439839074
TWO-FAM-RES,Residential,-71.134311973882,42.40138876427438
SNGL-FAM-RES,Residential,-71.13506260286414,42.40135690090054
TWO-FAM-RES,Residential,-71.13416514551831,42.40132850811851
TWO-FAM-RES,Residential,-71.1324722681405,42.40129151486821
TWO-FAM-RES,Residential,-71.1327820334993,42.40132495905752
TWO-FAM-RES,Residential,-71.13328853515866,42.40126939391618
TWO-FAM-RES,Residential,-71.1340236270623,42.40126716371841
TWO-FAM-RES,Residential,-71.1347994391341,42.401292055215855
TWO-FAM-RES,Residential,-71.13233509179015,42.401213090546186
TWO-FAM-RES,Residential,-71.13388016219336,42.401207864579774
TWO-FAM-RES,Residential,-71.13298512854584,42.401192464687405
TWO-FAM-RES,Residential,-71.13487538766691,42.40119300495731
TWO-FAM-RES,Residential,-71.13220416480372,42.40113372906694
TWO-FAM-RES,Residential,-71.1328343764582,42.40112513461133
TWO-FAM-RES,Residential,-71.13269827070005,42.401047810340394
TWO-FAM-RES,Residential,-71.13205997748744,42.40104843664549
SNGL-FAM-RES,Residential,-71.13495367928226,42.401090333369694
TWO-FAM-RES,Residential,-71.13326753455986,42.40099746735544
TWO-FAM-RES,Residential,-71.13256179625904,42.400968527520604
SNGL-FAM-RES,Residential,-71.13413571868963,42.40100893533043
>8-UNIT-APT,Residential,-71.13511816090919,42.40088711352382
TWO-FAM-RES,Residential,-71.13226184742044,42.40094423018258
SNGL-FAM-RES,Residential,-71.13458270279112,42.40092900437424
SNGL-FAM-RES,Residential,-71.13421295115236,42.400910567909904
TWO-FAM-RES,Residential,-71.13333571410276,42.40089828735832
TWO-FAM-RES,Residential,-71.13114259208419,42.40085749628409
TWO-FAM-RES,Residential,-71.13247601926882,42.40084331588244
TWO-FAM-RES,Residential,-71.13466215905069,42.400826611850235
SNGL-FAM-RES,Residential,-71.13429204535014,42.40080844416828
SNGL-FAM-RES,Residential,-71.13379208138032,42.400792353400476
TWO-FAM-RES,Residential,-71.13341770732318,42.40078616912837
TWO-FAM-RES,Residential,-71.13234057019285,42.40074385366178
