id,id_label,metric,count,change_from_baseline
Week:202203,"Jan 15, 2022",EstimatedSpendHome,1377366.8715,0
Week:202204,"Jan 22, 2022",EstimatedSpendHome,1940579.2088,0.4089050992540879
Week:202205,"Jan 29, 2022",EstimatedSpendHome,1179159.2455000002,-0.14390329120094544
Week:202206,"Feb 5, 2022",EstimatedSpendHome,1488689.6737000004,0.08082291254672486
Week:202207,"Feb 12, 2022",EstimatedSpendHome,1736613.9934,0.2608216658418448
Week:202208,"Feb 19, 2022",EstimatedSpendHome,1483187.0236000002,0.07682786212562127
Week:202209,"Feb 26, 2022",EstimatedSpendHome,1868173.8833000003,0.3563371690982336
Week:202210,"Mar 5, 2022",EstimatedSpendHome,1524489.3163,0.10681427573452436
Week:202211,"Mar 12, 2022",EstimatedSpendHome,2175562.3723999993,0.5795082758384751
Week:202212,"Mar 19, 2022",EstimatedSpendHome,2049472.2643999998,0.4879639599346933
Week:202213,"Mar 26, 2022",EstimatedSpendHome,1644664.9529999993,0.19406454956253055
Week:202214,"Apr 2, 2022",EstimatedSpendHome,1807650.2567,0.31239562538004617
Week:202215,"Apr 9, 2022",EstimatedSpendHome,1642840.8257999998,0.19274019129768208
Week:202216,"Apr 16, 2022",EstimatedSpendHome,1394478.8959,0.012423722941270116
Week:202217,"Apr 23, 2022",EstimatedSpendHome,1245653.6820999996,-0.09562680221614454
Week:202218,"Apr 30, 2022",EstimatedSpendHome,1211503.2101999999,-0.12042082957851949
Week:202219,"May 7, 2022",EstimatedSpendHome,1514309.3016999997,0.099423351202621
Week:202220,"May 14, 2022",EstimatedSpendHome,1471223.9911,0.06814242562534299
Week:202221,"May 21, 2022",EstimatedSpendHome,1378262.5620999997,0.0006502919581798989
Week:202222,"May 28, 2022",EstimatedSpendHome,1404511.9197000002,0.01970792877458888
Week:202223,"Jun 4, 2022",EstimatedSpendHome,1684540.7406000001,0.22301528768836826
Week:202224,"Jun 11, 2022",EstimatedSpendHome,1154880.8498,-0.16152996438610795
Week:202225,"Jun 18, 2022",EstimatedSpendHome,1184507.4606,-0.14002036413869112
Week:202226,"Jun 25, 2022",EstimatedSpendHome,1248082.9084,-0.09386312809978153
Week:202227,"Jul 2, 2022",EstimatedSpendHome,1010551.8567000001,-0.2663161299941283
Week:202228,"Jul 9, 2022",EstimatedSpendHome,2219233.1543,0.6112142670334294
Week:202229,"Jul 16, 2022",EstimatedSpendHome,1897595.5027,0.377697940878637
Week:202230,"Jul 23, 2022",EstimatedSpendHome,1549236.0945999997,0.12478100545051467
Week:202231,"Jul 30, 2022",EstimatedSpendHome,1388208.1273,0.007871000838138105
Week:202232,"Aug 6, 2022",EstimatedSpendHome,1219312.3882,-0.11475118689900912
Week:202233,"Aug 13, 2022",EstimatedSpendHome,1391079.2084999997,0.009955471765533767
Week:202234,"Aug 20, 2022",EstimatedSpendHome,1370740.1117000002,-0.004811179894854652
Week:202235,"Aug 27, 2022",EstimatedSpendHome,1826461.3743,0.32605292902893823
Week:202236,"Sep 3, 2022",EstimatedSpendHome,975683.3785000001,-0.29163144642977556
Week:202237,"Sep 10, 2022",EstimatedSpendHome,1549345.5034999999,0.12486043882608366
Week:202238,"Sep 17, 2022",EstimatedSpendHome,1673647.6744000004,0.21510667130925
Week:202239,"Sep 24, 2022",EstimatedSpendHome,1592205.0521999996,0.15597745607605148
Week:202240,"Oct 1, 2022",EstimatedSpendHome,1574632.3014,0.1432192351810896
Week:202241,"Oct 8, 2022",EstimatedSpendHome,1109962.9485999998,-0.1941413928511204
Week:202242,"Oct 15, 2022",EstimatedSpendHome,1451660.3682999997,0.053938785909008885
Week:202243,"Oct 22, 2022",EstimatedSpendHome,1609489.6774999998,0.16852649123701527
Week:202244,"Oct 29, 2022",EstimatedSpendHome,1627401.3523999997,0.18153077881690569
Week:202245,"Nov 5, 2022",EstimatedSpendHome,1767213.7933999998,0.2830378238119255
Week:202246,"Nov 12, 2022",EstimatedSpendHome,1554417.4682,0.12854280174982424
Week:202247,"Nov 19, 2022",EstimatedSpendHome,1493567.6377,0.08436442650421347
Week:202248,"Nov 26, 2022",EstimatedSpendHome,2297572.1616999996,0.6680901866021102
Week:202249,"Dec 3, 2022",EstimatedSpendHome,1746667.4087000003,0.2681206763727513
Week:202250,"Dec 10, 2022",EstimatedSpendHome,3831995.8895000014,1.7821170733740868
Week:202251,"Dec 17, 2022",EstimatedSpendHome,1546244.5119999996,0.122609047737649
Week:202252,"Dec 24, 2022",EstimatedSpendHome,1712929.5183999997,0.2436261927329213
Week:202301,"Dec 31, 2022",EstimatedSpendHome,2013970.5406999995,0.46218889271434005
Week:202302,"Jan 7, 2023",EstimatedSpendHome,1380481.2739999995,0.0022611277826131587
Week:202303,"Jan 14, 2023",EstimatedSpendHome,1777761.8344,0.2906959439673152
Week:202304,"Jan 21, 2023",EstimatedSpendHome,1421962.7959000003,0.032377665909325865
