placekey,raw_visit_counts,raw_visitor_counts,visits_by_day,visits_by_each_hour,poi_cbg,visitor_home_cbgs,visitor_daytime_cbgs,distance_from_home,normalized_visits_by_state_scaling,date_range_start,date_range_end,median_dwell,bucketed_dwell_times
232-222@62j-sk3-p9z,74.0,45.0,"[11, 4, 4, 7, 14, 10, 24]","[3,2,2,2,2,2,3,3,4,4,5,5,8,11,14,11,11,16,10,12,15,12,5,6]",250173504002,"{""250214562002"":4,""120210112022"":4,""172010002001"":4,""250214003003"":4,""484910203013"":4,""250173502003"":4,""250173826021"":4,""330110123004"":4,""250173173021"":4,""250173513003"":4,""250173414003"":4,""250173511001"":4}","{""250173504002"":4,""250173391004"":4,""250173521012"":4,""230190061002"":4,""250173418001"":4,""250173531022"":4,""250235012023"":4,""250214562002"":4}",8926.0,1650.7333486501266,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,42.0,"{""<5"":1,""5-10"":19,""11-20"":4,""21-60"":23,""61-120"":13,""121-240"":7,"">240"":7}"
zzy-222@62j-sjv-85f,141.0,121.0,"[14, 9, 10, 18, 18, 43, 29]","[4,4,2,2,1,2,0,0,10,11,14,13,20,17,21,22,20,16,17,8,10,6,4,3]",250173537004,"{""250173537003"":11,""250173537005"":6,""250173538003"":5,""250250101041"":4,""060590320372"":4,""250214044005"":4,""370670026011"":4,""250173536005"":4,""250173540002"":4,""250250506001"":4,""360470511001"":4,""250173541004"":4,""250173703003"":4,""040134226061"":4,""200910535091"":4,""250173563005"":4,""250173531012"":4,""360550131014"":4,""250235022001"":4,""250173576002"":4,""250250917001"":4,""250250104051"":4,""250173701011"":4,""250250101033"":4,""060855118003"":4,""120990070021"":4,""250173549003"":4,""250173539003"":4}","{""250173537003"":8,""250173537005"":7,""250214178022"":5,""481576747001"":5,""250173541004"":4,""250250008031"":4,""250173689023"":4,""060590320372"":4,""250250007015"":4,""250173512032"":4,""360595182031"":4,""250250806011"":4,""120860106092"":4,""250250820002"":4,""250173536005"":4,""120990077562"":4,""130670303261"":4,""250173527003"":4,""250173411011"":4,""250173542002"":4,""230310350004"":4,""250173539003"":4,""250250101041"":4,""250173540002"":4,""250173563005"":4,""250250104051"":4,""410170014001"":4}",6643.0,3145.3162454009166,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,12.0,"{""<5"":3,""5-10"":56,""11-20"":38,""21-60"":28,""61-120"":6,""121-240"":3,"">240"":7}"
zzw-224@62j-sj2-s5z,22.0,18.0,"[2, 1, 4, 3, 4, 6, 2]","[5,3,3,3,2,2,2,2,5,4,4,4,4,4,4,5,6,5,2,4,7,10,8,8]",250173531011,"{""250010121011"":4,""250250104051"":4}","{""250010121011"":4,""340230051002"":4,""440030209031"":4,""250173509003"":4}",23581.0,490.75856311219985,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,153.0,"{""<5"":0,""5-10"":3,""11-20"":2,""21-60"":2,""61-120"":3,""121-240"":4,"">240"":8}"
22m-222@62j-sjv-bc5,67.0,63.0,"[7, 5, 10, 6, 11, 12, 16]","[5,2,1,1,3,1,4,2,2,3,9,11,9,10,12,13,5,6,13,11,6,5,5,3]",250173541004,"{""210150703112"":5,""361190055003"":4,""250173537003"":4,""250173690001"":4,""340270403001"":4,""250214042023"":4,""291833117211"":4,""250214223024"":4,""360470600003"":4,""191630137062"":4,""340030160003"":4}","{""250250001001"":4,""340030292003"":4,""250214223024"":4,""250173324002"":4,""250173512032"":4,""250173423003"":4,""250173539003"":4,""340270403001"":4,""340030160003"":4,""250173690001"":4,""250173537003"":4,""250173563002"":4}",35596.0,1494.5828967507905,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,44.0,"{""<5"":0,""5-10"":6,""11-20"":6,""21-60"":28,""61-120"":17,""121-240"":7,"">240"":3}"
257-222@62j-sj2-m6k,93.0,39.0,"[12, 7, 7, 18, 18, 20, 11]","[27,27,26,24,24,27,25,24,25,29,30,26,22,20,20,21,23,27,21,20,17,27,26,29]",250173529001,"{""250214151023"":8,""250251707012"":6,""250173536005"":4,""250173526002"":4,""450410025001"":4,""250092081014"":4,""250092083004"":4,""330150570001"":4,""250173851002"":4}","{""250092081014"":4,""340030481001"":4,""250092066004"":4,""250173851002"":4,""250173421011"":4,""250173528001"":4,""250173521021"":4,""250173419026"":4,""250250007031"":4,""250173415001"":4,""450410025001"":4}",6867.0,2074.5702895197533,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,88.0,"{""<5"":2,""5-10"":13,""11-20"":5,""21-60"":23,""61-120"":9,""121-240"":11,"">240"":30}"
zzw-222@62j-sj8-q75,51.0,37.0,"[8, 8, 8, 6, 6, 11, 4]","[1,0,1,0,0,0,0,2,2,3,2,3,3,8,6,6,12,6,7,7,5,5,3,2]",250173514044,"{""250173104001"":4,""250173399004"":4,""330130430012"":4,""250250001001"":4,""250173163001"":4}","{""250173502003"":4}",4846.0,1137.667578123736,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,13.0,"{""<5"":2,""5-10"":20,""11-20"":11,""21-60"":7,""61-120"":5,""121-240"":6,"">240"":0}"
zzw-222@62j-sk3-3nq,8.0,2.0,"[2, 3, 0, 1, 2, 0, 0]","[0,0,0,0,0,0,0,2,4,7,7,8,8,6,4,0,0,0,0,0,0,0,0,0]",250173540002,"{""250092083004"":4}",{},,178.45765931352722,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,291.0,"{""<5"":0,""5-10"":0,""11-20"":0,""21-60"":0,""61-120"":0,""121-240"":1,"">240"":7}"
22j-222@62j-sj2-vvf,27.0,2.0,"[6, 4, 7, 4, 6, 0, 0]","[0,0,0,0,0,0,0,0,1,1,1,1,6,7,11,23,23,23,15,2,0,0,0,0]",250173522001,{},{},,602.2946001831542,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,165.0,"{""<5"":0,""5-10"":0,""11-20"":0,""21-60"":1,""61-120"":7,""121-240"":14,"">240"":5}"
225-222@62j-sk3-9cq,81.0,33.0,"[13, 16, 14, 11, 15, 10, 2]","[8,8,8,7,7,8,12,11,14,14,15,15,12,15,15,17,13,12,14,13,13,21,19,16]",250173503001,"{""250250509011"":4,""250251604001"":4,""250173852021"":4,""250250921015"":4}","{""250173413001"":5,""250173511005"":4,""250214181022"":4,""250092526023"":4,""250250804011"":4,""250251703004"":4,""250214223011"":4}",11454.0,1806.8838005494629,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,101.0,"{""<5"":1,""5-10"":16,""11-20"":3,""21-60"":11,""61-120"":12,""121-240"":23,"">240"":15}"
225-222@62j-sj3-3nq,196.0,43.0,"[28, 45, 38, 42, 38, 3, 2]","[0,1,2,1,2,22,34,66,109,119,121,116,96,80,82,76,60,27,12,3,5,6,7,3]",250173524001,"{""250173586002"":4,""250092059003"":4,""330110162011"":4,""250173416001"":4,""250092543011"":4,""250173504004"":4,""330170846001"":4,""250056541004"":4,""250173577001"":4,""250277431002"":4}","{""250173524001"":7,""250277431002"":5,""330170846001"":5,""330110114013"":4,""250173586002"":4,""250277442003"":4,""250173141012"":4,""250173372013"":4,""250173583002"":4,""250173011012"":4}",17502.0,4372.212653181417,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,271.0,"{""<5"":1,""5-10"":13,""11-20"":9,""21-60"":19,""61-120"":14,""121-240"":37,"">240"":103}"
229-222@62j-sjs-975,30.0,20.0,"[3, 3, 6, 8, 5, 3, 2]","[3,3,3,3,3,3,3,4,9,8,10,9,8,7,5,5,5,4,4,4,3,4,3,3]",250173544001,"{""250173544001"":4,""250173425003"":4,""250173573003"":4}","{""250250107022"":5,""330151002004"":4}",5854.0,669.2162224257272,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,38.5,"{""<5"":0,""5-10"":7,""11-20"":3,""21-60"":8,""61-120"":5,""121-240"":3,"">240"":4}"
245-222@62j-sj3-9zz,19.0,19.0,"[2, 2, 1, 0, 5, 6, 3]","[0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,4,6,3,3,4,4,3,2]",250173513003,"{""250251011023"":4,""250173371023"":4,""250173521012"":4}","{""250173621001"":4,""250214008003"":4,""250173173021"":4}",7662.0,423.83694086962714,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,44.0,"{""<5"":1,""5-10"":3,""11-20"":2,""21-60"":7,""61-120"":4,""121-240"":2,"">240"":0}"
238-222@62j-sjs-z9f,3.0,3.0,"[0, 0, 1, 0, 1, 1, 0]","[0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0]",250173544002,{},"{""250173419026"":4}",,66.92162224257271,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,8.0,"{""<5"":0,""5-10"":2,""11-20"":0,""21-60"":1,""61-120"":0,""121-240"":0,"">240"":0}"
22m-222@62j-sk3-2c5,19.0,18.0,"[2, 1, 2, 1, 4, 6, 3]","[0,0,0,0,0,0,0,0,0,1,0,1,2,2,2,4,2,1,6,5,1,1,0,0]",250173540001,"{""360359713002"":7}","{""250251705022"":4,""250173681012"":4,""360910606011"":4,""370630015011"":4,""250250914001"":4,""250173529001"":4}",10108.0,423.83694086962714,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,23.0,"{""<5"":0,""5-10"":8,""11-20"":1,""21-60"":4,""61-120"":6,""121-240"":0,"">240"":0}"
228-224@62j-sj8-pvz,109.0,70.0,"[16, 13, 12, 14, 15, 19, 20]","[3,3,2,2,2,2,4,18,17,22,25,27,41,35,32,33,28,24,20,13,4,6,6,5]",250173515002,"{""250173514032"":6,""250173515002"":5,""250251006012"":4,""250173421011"":4,""250092081012"":4,""250173502005"":4,""250173417002"":4,""250250504001"":4,""250173512031"":4,""250250107023"":4,""250173391002"":4,""250092082004"":4,""250173546004"":4}","{""250173511001"":4,""250173515002"":4,""250250502001"":4,""250173526002"":4,""250173561002"":4,""250173503003"":4,""250173424001"":4,""250173515001"":4,""250173393002"":4,""250173511003"":4,""250173513003"":4}",4556.0,2431.4856081468083,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,23.0,"{""<5"":1,""5-10"":33,""11-20"":17,""21-60"":21,""61-120"":8,""121-240"":6,"">240"":23}"
22b-222@62j-sjs-hyv,44.0,12.0,"[4, 7, 11, 12, 8, 2, 0]","[0,0,0,0,1,1,16,19,22,23,19,24,23,19,18,11,4,3,1,0,1,0,0,0]",250173546004,"{""250173151002"":4,""250173421021"":4}","{""250251707022"":4,""250173151002"":4}",11624.0,981.5171262243996,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,118.0,"{""<5"":0,""5-10"":5,""11-20"":6,""21-60"":5,""61-120"":7,""121-240"":3,"">240"":18}"
22h-222@62j-sjv-p5f,34.0,16.0,"[7, 5, 8, 6, 3, 0, 5]","[3,3,3,3,3,3,3,8,8,8,11,11,13,11,8,3,3,6,4,6,4,3,3,3]",250173542003,"{""250250106002"":4,""250251303002"":4}","{""250173540002"":4,""250173543001"":4,""250250106002"":4,""250092091005"":4}",10639.0,758.4450520824907,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,88.0,"{""<5"":0,""5-10"":8,""11-20"":1,""21-60"":6,""61-120"":3,""121-240"":6,"">240"":10}"
224-222@62j-sjv-8qf,374.0,171.0,"[43, 55, 63, 55, 63, 57, 38]","[25,16,8,5,3,5,17,32,37,38,36,48,55,38,50,40,34,42,61,52,38,54,55,40]",250173539003,"{""250173539003"":29,""250173539001"":22,""250173537003"":11,""250173540002"":11,""250173537004"":9,""250277351002"":7,""250173512041"":4,""250277351003"":4,""480291918063"":4,""250173541004"":4,""480850316383"":4,""250173541002"":4,""121030273243"":4,""250092611023"":4,""530330041001"":4,""250173165004"":4,""370670026011"":4,""120190312004"":4}","{""250173539003"":24,""250173539001"":21,""250173537003"":11,""250173540002"":10,""250173537004"":5,""250173536005"":5,""120190308012"":5,""480291918063"":4,""090076301004"":4,""390830073001"":4,""250250512001"":4,""250250108021"":4,""250173506001"":4,""250173537005"":4,""250173362002"":4,""250173514032"":4,""250235105021"":4,""250173587001"":4,""250250005024"":4,""230110242001"":4,""250173539002"":4,""250259815011"":4}",1327.0,8342.895572907397,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,41.0,"{""<5"":7,""5-10"":46,""11-20"":64,""21-60"":113,""61-120"":72,""121-240"":52,"">240"":20}"
22f-222@62j-sk3-h89,544.0,128.0,"[89, 82, 91, 90, 30, 38, 24]","[16,14,13,12,13,28,33,33,124,125,120,145,174,162,111,84,58,41,34,23,20,25,21,18]",250173502004,"{""250173501042"":8,""250092058003"":6,""250173502003"":5,""250173512032"":5,""250277491002"":4,""250173514032"":4,""250173504005"":4,""250173395001"":4,""250173507003"":4,""250173514034"":4,""250173501043"":4,""250235221025"":4,""250173511001"":4,""250173361003"":4,""250173507001"":4,""250173514044"":4,""250173502004"":4,""090091201001"":4,""250173426002"":4,""250173510002"":4,""250173503003"":4,""250173501041"":4,""250173513003"":4,""250250502001"":4,""250173564001"":4,""250173421013"":4,""250173396006"":4}","{""250173502004"":8,""250173507004"":8,""250173501042"":7,""250173501043"":6,""250173514032"":5,""250173511001"":5,""250173514042"":5,""250173514044"":4,""250173513001"":4,""250173527003"":4,""250173514034"":4,""250092058003"":4,""250173502003"":4,""440030207031"":4,""250173507002"":4,""250173124002"":4,""250214011001"":4,""250173372024"":4,""250173531012"":4,""230050019001"":4,""250173510002"":4,""250173515002"":4,""250173507003"":4,""250173513003"":4}",3000.0,12135.120833319852,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,42.0,"{""<5"":9,""5-10"":67,""11-20"":68,""21-60"":196,""61-120"":84,""121-240"":63,"">240"":57}"
zzw-22f@62j-sjv-j35,4.0,4.0,"[1, 1, 0, 0, 2, 0, 0]","[0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0]",250173538003,{},{},,89.22882965676361,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,49.5,"{""<5"":0,""5-10"":1,""11-20"":0,""21-60"":2,""61-120"":1,""121-240"":0,"">240"":0}"
27g-222@62j-sj2-jqf,2.0,2.0,"[0, 0, 0, 1, 0, 1, 0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0]",250173538004,{},"{""250250008031"":4}",,44.61441482838182,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,44.0,"{""<5"":0,""5-10"":0,""11-20"":0,""21-60"":2,""61-120"":0,""121-240"":0,"">240"":0}"
223-222@62j-sgg-kfz,187.0,93.0,"[21, 21, 31, 28, 37, 20, 29]","[23,25,24,26,26,29,61,70,67,67,67,56,60,59,51,32,21,22,18,10,12,17,20,22]",250173534002,"{""250173534002"":6,""250251011022"":5,""250173547002"":5,""250173838001"":4,""250173535002"":4,""090093516024"":4,""250173832003"":4,""250173539002"":4,""250214198003"":4,""250235001011"":4,""250235021021"":4,""250214135002"":4,""250173549002"":4,""250056111012"":4,""250250008024"":4}","{""250173534002"":5,""250235114003"":4,""250251205003"":4,""250173513002"":4,""250251011022"":4,""250173530001"":4,""250250509011"":4,""060590320141"":4,""250173689021"":4,""250173396006"":4,""480850316383"":4,""250010101001"":4,""250173524002"":4,""250173536004"":4}",9869.0,4171.447786453698,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,66.0,"{""<5"":8,""5-10"":45,""11-20"":19,""21-60"":18,""61-120"":11,""121-240"":21,"">240"":65}"
225-222@62j-sjs-d35,258.0,192.0,"[32, 35, 35, 40, 53, 31, 32]","[2,1,1,2,2,3,5,6,11,12,19,20,52,41,38,42,22,15,30,11,15,21,11,6]",250173546004,"{""250173549002"":8,""250173576001"":7,""250250502004"":7,""250173549003"":6,""250173689023"":5,""250250705001"":4,""250173563001"":4,""250173341001"":4,""250173506004"":4,""250214562002"":4,""250173573001"":4,""250173689021"":4,""250173422012"":4,""250173571003"":4,""250277097014"":4,""250173567023"":4,""250173574003"":4,""250173577003"":4,""250173561002"":4,""250056532031"":4,""250092509001"":4,""250173546004"":4,""250173546001"":4,""250092084004"":4,""250173701021"":4,""250092663001"":4,""250173704002"":4,""250173523002"":4,""250250203032"":4,""250173426001"":4,""250173537003"":4,""250092543011"":4,""250173701024"":4,""250173703003"":4,""330112001001"":4,""250173573002"":4,""250173501042"":4,""250173578004"":4,""250173564005"":4,""250214182001"":4,""250251004001"":4,""250173578003"":4}","{""250173546004"":7,""250173549002"":6,""250173571003"":6,""250173574003"":4,""250173574002"":4,""250173578003"":4,""250173421021"":4,""250214562002"":4,""250173123002"":4,""250173504005"":4,""250173541003"":4,""250173571004"":4,""250173424001"":4,""250173501031"":4,""250173563001"":4,""250173543003"":4,""250173155002"":4,""250173561002"":4,""250092509001"":4,""250173117001"":4,""250250914001"":4,""250214564024"":4,""250173573003"":4,""250173392006"":4,""250235117013"":4,""250173735003"":4,""250173602001"":4,""250173506004"":4,""250173703003"":4,""250173424004"":4,""250056532031"":4,""250173703004"":4,""250173572004"":4,""250250809001"":4,""250173546003"":4,""250250002021"":4,""250173336003"":4,""250173566014"":4,""250173577003"":4,""250173689021"":4,""250173124001"":4,""250092083004"":4,""250173577001"":4,""250173689023"":4}",4787.0,5755.259512861252,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,8.0,"{""<5"":9,""5-10"":157,""11-20"":35,""21-60"":31,""61-120"":16,""121-240"":4,"">240"":6}"
