placekey,latitude,longitude,top_category,open_hours,location_name
222-222@62j-sj2-sqz,42.365577,-71.10589399999999,Religious Organizations,,The Church In Cambridge Inc
223-222@62j-sj2-hh5,42.370093,-71.102315,Other Amusement and Recreation Industries,"{ ""Mon"": [[""18:00"", ""19:30""]], ""Tue"": [], ""Wed"": [], ""Thu"": [], ""Fri"": [], ""Sat"": [], ""Sun"": [] }",Come To Yoga With Barbara Lyon
224-222@62j-sj2-kcq,42.373707,-71.104915,Lessors of Real Estate,,Condos at 74 Highland Ave
226-222@62j-sj2-7bk,42.369144,-71.09089499999999,Lessors of Real Estate,,Apartments at 15 Vandine St
226-222@62j-sj2-ks5,42.371825,-71.101943,Lessors of Real Estate,,Apartments at 97 Inman St
22d-222@62j-sj3-9s5,42.373919,-71.098271,Lessors of Real Estate,,Apartments at 10 Clary St
22f-222@62j-sj2-p35,42.364208000000005,-71.102297,Other Schools and Instruction,"{ ""Mon"": [[""9:00"", ""21:00""]], ""Tue"": [[""9:00"", ""21:00""]], ""Wed"": [[""9:00"", ""21:00""]], ""Thu"": [[""9:00"", ""21:00""]], ""Fri"": [[""9:00"", ""21:00""]], ""Sat"": [[""9:00"", ""21:00""]], ""Sun"": [[""9:00"", ""21:00""]] }",LS Flamenco
22f-222@62j-sj3-4y9,42.369825,-71.083167,Lessors of Real Estate,,Apartments at 114 Thorndike St
22f-222@62j-sk2-rrk,42.379106,-71.103804,Lessors of Real Estate,,Apartments at 361 Washington St
22n-222@62j-sj2-4d9,42.370292,-71.09400699999999,Lessors of Real Estate,,Apartments at 376 Windsor St
22q-222@62j-sj2-hwk,42.370397,-71.109585,Lessors of Real Estate,,Apartments at 14 Dana St
232-222@62j-sj3-85f,42.372795,-71.094923,Lessors of Real Estate,,Apartments at 1054 Cambridge St
235-222@62j-sj2-k75,42.372906,-71.103851,Lessors of Real Estate,,Apartments at 27 Fainwood Cir
239-222@62j-sjv-ju5,42.365157,-71.112138,Lessors of Real Estate,,Apartments at 18 Dodge St
23j-222@62j-sj2-sqz,42.365688,-71.106087,Lessors of Real Estate,,Apartments at 10 Pleasant St
23m-222@62j-sj8-q4v,42.379402,-71.091611,Building Finishing Contractors,,Bathroom Remodeling
23p-222@62j-sj2-kmk,42.375665999999995,-71.103592,Lessors of Real Estate,,Apartments at 50 Beacon St
244-222@62j-sjv-f75,42.364653999999994,-71.11519200000001,Lessors of Real Estate,,Harvard University Housing
254-223@62j-sk2-p7q,42.377897,-71.107366,Lessors of Real Estate,,Apartments at 92 Kirkland St
28z-223@62j-sj2-h5z,42.369468,-71.104582,Lessors of Real Estate,,Apartments at 287 Harvard St
zzw-222@62j-sj2-b49,42.359142,-71.092973,Restaurants and Other Eating Places,,Steam Cafe
zzw-224@62j-sj2-vcq,42.374390999999996,-71.084562,Medical and Diagnostic Laboratories,,Health Street
zzw-22g@62j-sjv-9fz,42.373233,-71.122151,Lessors of Real Estate,,Apartments at 115 Mt Auburn St
zzy-223@62j-sj2-f2k,42.362251,-71.088964,Specialty (except Psychiatric and Substance Abuse) Hospitals,,MIT Building 76 Koch Institute for Integrative Cancer Research
222-222@62j-sj2-mp9,42.373397,-71.108818,Lessors of Real Estate,,Apartments at 86 Ellery St
222-222@62j-sjv-cdv,42.373340999999996,-71.11361099999999,Lessors of Real Estate,,Harvard University Housing
222-223@62j-sj4-vcq,42.360240999999995,-71.085734,Lessors of Real Estate,,Apartments at 100 Memorial Dr
229-222@62j-sjv-fj9,42.365775,-71.11393000000001,Lessors of Real Estate,,Apartments at 16 Elmer St
22h-222@62j-sj3-9zz,42.379864000000005,-71.095129,Restaurants and Other Eating Places,"{ ""Mon"": [[""0:00"", ""1:00""]], ""Tue"": [[""17:00"", ""24:00""]], ""Wed"": [[""0:00"", ""1:00""], [""17:00"", ""24:00""]], ""Thu"": [[""0:00"", ""1:00""], [""17:00"", ""24:00""]], ""Fri"": [[""0:00"", ""1:00""], [""17:00"", ""24:00""]], ""Sat"": [[""0:00"", ""2:00""], [""15:00"", ""24:00""]], ""Sun"": [[""0:00"", ""2:00""], [""17:00"", ""24:00""]] }",Brass Union
22q-222@62j-sgg-ks5,42.362283000000005,-71.113968,Lessors of Real Estate,,Condos at 323 River St
22r-222@62j-sk2-qpv,42.377449,-71.109011,Lessors of Real Estate,,Apartments at 74 Kirkland St
235-222@62j-sj2-835,42.371124,-71.09707900000001,Other Amusement and Recreation Industries,"{ ""Mon"": [[""6:00"", ""20:30""]], ""Tue"": [[""6:00"", ""20:30""]], ""Wed"": [[""6:00"", ""20:30""]], ""Thu"": [[""6:00"", ""20:30""]], ""Fri"": [[""6:00"", ""14:00""]], ""Sat"": [[""8:00"", ""12:00""]], ""Sun"": [[""9:00"", ""18:00""]] }",Fitness Together
23s-222@62j-sj2-835,42.370667,-71.097385,Lessors of Real Estate,,Apartments at 138 Hampshire St
23y-222@62j-sj2-ks5,42.371572,-71.101652,Lessors of Real Estate,,Condos at 104 Inman St
242-222@62j-sj2-89z,42.372941,-71.096205,Lessors of Real Estate,,Apartments at 1130 Cambridge St
24d-222@62j-sj2-nyv,42.362727,-71.10504,Grocery Stores,"{ ""Mon"": [[""7:00"", ""22:30""]], ""Tue"": [[""7:00"", ""22:30""]], ""Wed"": [[""7:00"", ""22:30""]], ""Thu"": [[""7:00"", ""22:30""]], ""Fri"": [[""7:00"", ""22:30""]], ""Sat"": [[""7:00"", ""22:30""]], ""Sun"": [[""7:00"", ""22:30""]] }",Pearl Street Market
24h-222@62j-sj3-9j9,42.374521,-71.101502,Drinking Places (Alcoholic Beverages),"{ ""Mon"": [[""0:00"", ""1:00""]], ""Tue"": [[""17:00"", ""24:00""]], ""Wed"": [[""0:00"", ""1:00""], [""17:00"", ""24:00""]], ""Thu"": [[""0:00"", ""1:00""], [""17:00"", ""24:00""]], ""Fri"": [[""0:00"", ""1:00""], [""17:00"", ""24:00""]], ""Sat"": [[""0:00"", ""2:00""], [""17:00"", ""24:00""]], ""Sun"": [[""0:00"", ""2:00""], [""17:00"", ""24:00""]] }",Trina's Starlite Lounge
25d-222@62j-sjv-j7q,42.370715000000004,-71.113316,Offices of Other Health Practitioners,"{ ""Mon"": [[""8:00"", ""19:00""]], ""Tue"": [[""8:00"", ""19:00""]], ""Wed"": [[""8:00"", ""19:00""]], ""Thu"": [], ""Fri"": [[""8:00"", ""19:00""]], ""Sat"": [], ""Sun"": [] }",Youngren Virginia R Psychologst
26s-222@62j-sjv-py9,42.379490999999994,-71.125279,Lessors of Real Estate,,Apartments at 27 Concord Ave
27g-222@62j-sjv-ju5,42.365146,-71.11276,Lessors of Real Estate,,Apartments at 12 Dodge St
zzw-223@62j-sj3-47q,42.362595,-71.085488,Urban Transit Systems,,Charles MGH T Stop
zzy-222@62j-sjv-j35,42.36943,-71.110975,Personal Care Services,"{ ""Mon"": [[""10:00"", ""19:30""]], ""Tue"": [[""10:00"", ""19:30""]], ""Wed"": [[""10:00"", ""19:30""]], ""Thu"": [[""10:00"", ""19:30""]], ""Fri"": [[""10:00"", ""19:30""]], ""Sat"": [[""10:00"", ""19:30""]], ""Sun"": [[""11:00"", ""18:00""]] }",Harvard Beauty Spa
zzz-222@62j-sj2-rzf,42.363428000000006,-71.100044,"Museums, Historical Sites, and Similar Institutions",,Plaza
222-222@62j-sj2-dn5,42.360119,-71.088622,Specialty Food Stores,"{ ""Mon"": [], ""Tue"": [[""12:00"", ""18:00""]], ""Wed"": [], ""Thu"": [], ""Fri"": [], ""Sat"": [], ""Sun"": [] }",MIT Produce Stand
223-224@62j-sjv-j5f,42.368903,-71.110873,"Museums, Historical Sites, and Similar Institutions",,Z Park Innovation Center Boston
225-222@62j-sj2-sdv,42.363189,-71.098985,Religious Organizations,"{ ""Mon"": [], ""Tue"": [], ""Wed"": [[""20:00"", ""21:30""]], ""Thu"": [[""5:00"", ""6:00""]], ""Fri"": [[""5:00"", ""6:00""]], ""Sat"": [[""5:00"", ""6:00""]], ""Sun"": [[""14:00"", ""15:00""]] }",Korean Methodist Church Of Boston
227-222@62j-sj2-m8v,42.373331,-71.102246,Lessors of Real Estate,,Apartments at 66 Fayette St
